Institution, Location, Rating, Score, Valid Through, Liaison, Submitted, Sustainability Rep, Reusable Keyword?, Number of Past Reports, Dates of Past Reports
University of Wisconsin-Oshkosh,"Oshkosh, WI, US",Gold - expired,66.33,"July 27, 2021",Brad Spanbauer,"Jan. 29, 2018",Brian Kermath,True,6,"Jan. 29, 2018 - July 27, 2021; Sept. 12, 2016 - Sept. 12, 2019; July 9, 2015 - July 8, 2018; June 18, 2014 - June 17, 2017; April 25, 2013 - April 24, 2016; Feb. 4, 2012 - Feb. 3, 2015"
University of Wisconsin-Platteville,"Platteville, WI, US",Silver,55.52,"March 5, 2023",Amy Seeboth-Wilson,"March 5, 2020",Amy Seeboth-Wilson,True,3,"March 5, 2020 - March 5, 2023; March 2, 2018 - Aug. 28, 2021; Feb. 29, 2016 - Feb. 28, 2019"
University of Wisconsin-River Falls,"River Falls, WI, US",Silver,63.21,"Aug. 9, 2024",Mark Klapatch-Mathias,"June 30, 2021",Henry Walling,True,8,"June 30, 2021 - Aug. 9, 2024; Feb. 21, 2018 - Aug. 19, 2021; Feb. 24, 2017 - Feb. 24, 2020; Feb. 26, 2016 - Feb. 25, 2019; Feb. 27, 2015 - Feb. 26, 2018; May 1, 2014 - April 30, 2017; April 15, 2013 - April 14, 2016; Jan. 13, 2012 - Jan. 12, 2015"
University of Wisconsin-Stevens Point,"Stevens Point, WI, US",Silver,62.28,"Feb. 28, 2025",Dave Barbier,"Nov. 5, 2021",Dave Barbier,True,4,"Nov. 5, 2021 - Feb. 28, 2025; May 14, 2018 - Nov. 9, 2021; June 3, 2015 - June 2, 2018; July 17, 2012 - July 17, 2015"
University of Wisconsin-Stout,"Menomonie, WI, US",Silver - expired,49.78,"Nov. 3, 2018",Sarah Rykal,"Nov. 4, 2015",,False,2,"Nov. 4, 2015 - Nov. 3, 2018; July 25, 2013 - July 24, 2016"
University of Wisconsin-Whitewater,"Whitewater, WI, US",Silver - expired,52.43,"Nov. 12, 2021",Wesley Enterline,"Nov. 13, 2018",Rachael Omdoll,True,2,"Nov. 13, 2018 - Nov. 12, 2021; April 22, 2015 - April 21, 2018"
Western Technical College,"La Crosse, WI, US",Silver,58.64,"April 29, 2024",Casey Meehan,"Dec. 22, 2020",Chelsey Sloan,True,2,"Dec. 22, 2020 - April 29, 2024; June 15, 2017 - Dec. 11, 2020"
West Virginia University,"Morgantown, WV, US",Silver,46.13,"March 29, 2024",Traci Knabenshue,"March 3, 2021",Tiffany Peden,True,0,
University of Wyoming,"Laramie, WY, US",Bronze,26.10,"April 28, 2022",Rachael Budowle,"April 29, 2019",Rachael Budowle,True,0,
FIE: Foundation for International Education,"London, London, GB",Silver - expired,47.40,"Sept. 30, 2020",Havina Georgieva,"April 4, 2017",Mieke Berg,True,0,
University of Sharjah,"Sharjah, AE",Silver,53.21,"July 6, 2024",Imad Alsyouf,"May 9, 2021",,False,0,
American University of Sharjah,"Sharjah, Ash Shariqah, AE",Silver,57.78,"June 21, 2024",Rose Armour,"May 6, 2021",Julia McAllister,True,2,"May 6, 2021 - June 21, 2024; Sept. 16, 2018 - Sept. 15, 2021"
National Tsing Hua University,"Hsinchu, TW",Gold,65.49,"Dec. 15, 2024",Jun-Ming Chen,"Oct. 29, 2021",Fu-Ren Lin,True,0,
Franklin University Switzerland,"Sorengo, Ticino, CH",Reporter - expired,,"Aug. 4, 2016",Brack Hale,"Aug. 5, 2013",,False,0,
Universidade Aberta,"Lisbon, PT",Bronze - expired,43.00,"April 4, 2022",Sandra Caeiro,"April 5, 2019",,False,0,
DE LA SALLE LIPA,"LIPA CITY, BATANGAS, PH",Silver,61.37,"Sept. 14, 2024",Remian Santos,"July 7, 2021",Remian Santos,True,0,
Tarlac Agricultural University,"Camiling, Tarlac, PH",Reporter,,"March 7, 2025",Christine Ferrer,"March 4, 2022",,False,0,
Lahore University of Management Sciences,"Lahore, Cantt, PK",Reporter - expired,,"April 10, 2016",Jennifer Mitchell,"April 11, 2013",,False,0,
Utrecht University,NL,Reporter - expired,,"Dec. 17, 2016",Fay Zeijl,"Dec. 18, 2013",,False,0,
Mohammed VI Polytechnic University,"Ben Guerir, MA",Silver,49.48,"Oct. 28, 2023",Stars UM6P,"Aug. 31, 2020",Maryame JEBBARI,True,0,
Universidad de Monterrey,"San Pedro Garza Garcia, NL, MX",Silver,50.62,"Jan. 31, 2025",Cesar Nanni,"Nov. 26, 2021",,False,4,"Nov. 26, 2021 - Jan. 31, 2025; Feb. 27, 2017 - Feb. 27, 2020; Jan. 13, 2015 - Jan. 12, 2018; Oct. 30, 2012 - Oct. 30, 2015"
Universidad Autonoma de Tamaulipas,"Cd Victoria, TM, MX",Silver - expired,50.43,"May 25, 2021",YOLANDA MENDOZA CAVAZOS,"Nov. 27, 2017",,False,2,"Nov. 27, 2017 - May 25, 2021; June 19, 2015 - June 18, 2018"
Kyoto University,"Kyoto, JP",Reporter - expired,,"Dec. 18, 2016",Masayuki Fujisawa,"Dec. 19, 2013",,False,0,
Hokkaido University,"Sapporo, Hokkaido, JP",Reporter - expired,,"Dec. 20, 2015",Tomohiro Morimoto,"Dec. 20, 2012",,False,0,
"University College Cork - National University of Ireland, Cork","Cork, Co. Cork, IE",Gold - expired,66.39,"July 19, 2021",Maria Kirrane,"July 20, 2018",Caroline Jensen,True,0,
"National University of Ireland, Galway","Galway, Co. Galway, IE",Gold,65.04,"Oct. 28, 2024",Thomas Adams,"July 30, 2021",Ann Duggan,True,0,
The American College of Greece,"Athens, Aghia Paraskevi, GR",Gold,69.44,"Feb. 10, 2023",Rania Assariotaki,"Feb. 11, 2020",Ourania Assariotaki,True,3,"Feb. 11, 2020 - Feb. 10, 2023; Dec. 15, 2017 - June 12, 2021; Nov. 5, 2015 - Nov. 4, 2018"
Euromed Management,"Luminy, Marseille, FR",Reporter - expired,,"May 6, 2016",Tashina Giraud,"May 7, 2013",,False,0,
Universidad San Francisco de Quito,"Quito, Pichincha, EC",Silver - expired,57.59,"Dec. 25, 2021",Maria Ayala,"Dec. 26, 2018",Carlos Ruales,True,2,"Dec. 26, 2018 - Dec. 25, 2021; Dec. 25, 2013 - Dec. 24, 2016"
Universidad CES,"Medellin, CO",Reporter,,"March 7, 2025",Tatiana Molina Velásquez,"March 4, 2022",Tatiana Molina,True,0,
Instituto Tecnológico Metropolitano,"Medellín, Antioquia, CO",Reporter,,"Oct. 1, 2023",Marcela Marín Arias,"Sept. 17, 2020",Marcela Marín Arias,True,0,
Bow Valley College,"Calgary, AB, CA",Reporter - expired,,"Oct. 1, 2021",Amy Spark,"April 5, 2018",,False,0,
MacEwan University,"Edmonton, AB, CA",Silver - expired,61.29,"Aug. 30, 2021",Kalen Pilkington,"Aug. 31, 2018",Susan Cooper,True,2,"Aug. 31, 2018 - Aug. 30, 2021; Oct. 30, 2014 - Oct. 29, 2017"
Mount Royal University,"Calgary, AB, CA",Silver,63.22,"Oct. 16, 2022",Jorden Dye,"Oct. 17, 2019",Courtney Stange,True,0,
Northern Alberta Institute of Technology,"Edmonton, AB, CA",Silver - expired,53.30,"June 18, 2018",Emma Shipalesky,"June 19, 2015",,False,2,"June 19, 2015 - June 18, 2018; March 23, 2012 - March 23, 2015"
The King's University,"Edmonton, AB, CA",Bronze,33.05,"Dec. 9, 2024",Lynda Koot,"Nov. 8, 2021",Lynda Koot,True,3,"Nov. 8, 2021 - Dec. 9, 2024; Nov. 27, 2012 - Nov. 27, 2015; Sept. 9, 2011 - Sept. 8, 2014"
University of Alberta,"Edmonton, AB, CA",Gold,67.16,"Oct. 5, 2023",Mike Versteege,"June 24, 2020",Dolores March,True,4,"June 24, 2020 - Oct. 5, 2023; June 30, 2017 - Dec. 26, 2020; Oct. 10, 2014 - Oct. 9, 2017; Feb. 3, 2012 - Feb. 2, 2015"
University of Calgary,"Calgary, AB, CA",Gold - expired,80.45,"Dec. 12, 2021",Tori Grant,"Dec. 13, 2018",Megan Wibberley,True,4,"Dec. 13, 2018 - Dec. 12, 2021; Dec. 21, 2016 - Dec. 21, 2019; June 28, 2013 - June 27, 2016; July 6, 2011 - July 5, 2014"
British Columbia Institute of Technology,"Burnaby, BC, CA",Silver,60.39,"June 28, 2024",Christine Pinkham,"March 30, 2021",,False,0,
Camosun College,"Victoria, BC, CA",Silver - expired,46.40,"Nov. 24, 2018",Shannon Craig,"Nov. 25, 2015",,False,0,
Langara College,"Vancouver, BC, CA",Silver,51.63,"Aug. 26, 2024",Dwayne Doornbosch,"June 24, 2021",Raymond Yeung,True,0,
Okanagan College,"Kelowna, BC, CA",Silver - expired,55.85,"July 10, 2017",Robert Eby,"July 11, 2014",,False,2,"July 11, 2014 - July 10, 2017; July 19, 2011 - July 18, 2014"
Royal Roads University,"Victoria, BC, CA",Gold - expired,70.03,"May 25, 2017",Nancy Wilkin,"May 26, 2014",,False,2,"May 26, 2014 - May 25, 2017; Sept. 14, 2010 - Sept. 13, 2013"
Selkirk College,"Castlegar, BC, CA",Silver,49.04,"May 27, 2022",Laura Nessman,"May 28, 2019",Laura Nessman,True,2,"May 28, 2019 - May 27, 2022; May 30, 2016 - May 30, 2019"
Simon Fraser University,"Burnaby, BC, CA",Gold - expired,73.90,"Oct. 4, 2021",Connie Norton,"Oct. 5, 2018",Dan Traviss,True,3,"Oct. 5, 2018 - Oct. 4, 2021; Oct. 29, 2014 - Oct. 28, 2017; May 3, 2011 - May 2, 2014"
Thompson Rivers University,"Kamloops, BC, CA",Platinum - expired,88.31,"Nov. 26, 2021",James Gordon,"May 31, 2018",James Gordon,True,0,
University of British Columbia,"Vancouver, BC, CA",Gold - expired,75.01,"Aug. 3, 2018",Jen Crothers,"Aug. 4, 2015",,False,2,"Aug. 4, 2015 - Aug. 3, 2018; Aug. 2, 2011 - Aug. 1, 2014"
University of Northern British Columbia,"Prince George, BC, CA",Silver - expired,56.09,"Aug. 19, 2014",Kyrke Gaudreau,"Aug. 20, 2011",,False,0,
University of Victoria,"Victoria, BC, CA",Gold,80.17,"July 20, 2023",Mike Wilson,"May 5, 2020",Megan Chan,True,3,"May 5, 2020 - July 20, 2023; Jan. 27, 2017 - Jan. 27, 2020; Jan. 29, 2014 - Jan. 28, 2017"
Red River College Polytechnic,"Winnipeg, MB, CA",Silver - expired,49.70,"April 27, 2015",Whitney Crooks,"April 27, 2012",,False,0,
University of Manitoba,"Winnipeg, MB, CA",Gold - expired,70.27,"Aug. 15, 2021",Juanita Van Norman,"Aug. 16, 2018",Christie Nairn,True,2,"Aug. 16, 2018 - Aug. 15, 2021; May 21, 2015 - May 20, 2018"
University of Winnipeg,"Winnipeg, MB, CA",Silver - expired,59.78,"Feb. 28, 2022",Joseph Wasylycia-Leis,"March 1, 2019",Ian Vickers,True,2,"March 1, 2019 - Feb. 28, 2022; March 3, 2015 - March 2, 2018"
"University of New Brunswick, Fredericton","Fredericton, NB, CA",Silver,62.83,"Oct. 14, 2023",Danielle Smith,"Aug. 11, 2020",Mike Hardy,True,2,"Aug. 11, 2020 - Oct. 14, 2023; Aug. 23, 2017 - Feb. 18, 2021"
"University of New Brunswick, Saint John","Saint John, NB, CA",Silver,46.80,"April 6, 2024",Danielle Smith,"Dec. 18, 2020",,False,0,
Dalhousie University,"Halifax, NS, CA",Gold,76.02,"Sept. 14, 2024",Rochelle Owen,"July 21, 2021",KAREINA D'SOUZA,True,4,"July 21, 2021 - Sept. 14, 2024; April 6, 2018 - Oct. 2, 2021; Jan. 7, 2015 - Jan. 6, 2018; Aug. 12, 2011 - Aug. 11, 2014"
Nova Scotia Community College,"Halifax, NS, CA",Gold,71.07,"March 6, 2023",Michael Chapman,"March 6, 2020",Martha MacGowan,True,3,"March 6, 2020 - March 6, 2023; Dec. 8, 2016 - Dec. 8, 2019; Dec. 11, 2013 - Dec. 10, 2016"
Saint Mary's University,"Halifax, NS, CA",Silver - expired,48.98,"July 30, 2015",Gary Schmeisser,"July 30, 2012",,False,0,
Brock University,"ON, CA",Silver,47.15,"Jan. 20, 2024",Elenore Breslow,"Nov. 24, 2020",,False,0,
Carleton University,"Ottawa, ON, CA",Gold,67.08,"April 7, 2025",Philip Mansfield,"March 4, 2022",Gabby Carrier,True,2,"March 4, 2022 - April 7, 2025; Feb. 17, 2017 - Feb. 17, 2020"
Durham College,"Oshawa, ON, CA",Silver,46.94,"Feb. 6, 2023",Tanya Roberts,"Feb. 7, 2020",Beth Smith,True,3,"Feb. 7, 2020 - Feb. 6, 2023; Feb. 9, 2017 - Feb. 9, 2020; Oct. 2, 2012 - Oct. 2, 2015"
Fanshawe College,"London, ON, CA",Gold - expired,65.25,"Nov. 29, 2021",Amanda Whittingham,"Nov. 30, 2018",Terri Salters,True,2,"Nov. 30, 2018 - Nov. 29, 2021; Sept. 11, 2014 - Sept. 10, 2017"
Fleming College,"Peterborough, ON, CA",Gold,66.32,"Aug. 22, 2022",Robert Monico,"Aug. 23, 2019",Andrew Lloyd,True,3,"Aug. 23, 2019 - Aug. 22, 2022; July 19, 2016 - July 19, 2019; March 20, 2013 - March 19, 2016"
George Brown College,"Toronto, ON, CA",Silver,46.07,"Nov. 24, 2023",Akrivi Papadaki,"April 30, 2020",Wayne Dolson,True,2,"April 30, 2020 - Nov. 24, 2023; Nov. 18, 2014 - Nov. 17, 2017"
Humber College,"Toronto, ON, CA",Gold,70.91,"Oct. 23, 2022",Lindsay Walker,"Oct. 24, 2019",Lindsay Walker,True,3,"Oct. 24, 2019 - Oct. 23, 2022; Oct. 14, 2016 - Oct. 14, 2019; Aug. 28, 2013 - Aug. 27, 2016"
Lakehead University,"Thunder Bay, ON, CA",Bronze - expired,36.94,"Nov. 11, 2017",David Greenwood,"Nov. 12, 2014",,False,0,
Loyalist College,"Belleville, ON, CA",Bronze - expired,33.15,"July 22, 2018",Mark Kirkpatrick,"July 23, 2015",,False,0,
Mohawk College,"Hamilton, ON, CA",Gold,67.36,"April 24, 2025",Allison Maxted,"Feb. 17, 2022",Nicolai Strabac,True,3,"Feb. 17, 2022 - April 24, 2025; Jan. 22, 2019 - Jan. 21, 2022; Jan. 25, 2016 - Jan. 24, 2019"
Niagara College Canada,"Welland, ON, CA",Silver - expired,50.53,"Aug. 10, 2019",Taryn Wilkinson,"Aug. 10, 2016",,False,2,"Aug. 10, 2016 - Aug. 10, 2019; Oct. 3, 2013 - Oct. 2, 2016"
Ryerson University,"Toronto, ON, CA",Silver,54.26,"Jan. 27, 2024",Stephanie MacPhee,"Dec. 9, 2020",,False,0,
Seneca College,"Toronto, ON, CA",Silver,50.14,"March 30, 2023",Don Forster,"March 30, 2020",Paula Echeveste,True,0,
Sheridan College (Ontario),"Oakville, ON, CA",Silver - expired,57.05,"July 11, 2021",Herbert Sinnock,"July 12, 2018",Fadi Zuriekat,True,3,"July 12, 2018 - July 11, 2021; April 20, 2015 - April 19, 2018; July 31, 2012 - July 31, 2015"
St. Lawrence College,"Kingston, ON, CA",Bronze - expired,33.58,"Feb. 27, 2022",Brooke Gilmour,"Feb. 28, 2019",,False,0,
University of Guelph,"Guelph, ON, CA",Gold,67.46,"Nov. 17, 2023",Brandon Raco,"Sept. 2, 2020",,False,0,
University of Ontario Institute of Technology,"Oshawa, ON, CA",Gold,71.86,"June 18, 2022",Nadia Harduar,"June 19, 2019",Nadia Harduar,True,2,"June 19, 2019 - June 18, 2022; April 21, 2016 - April 21, 2019"
University of Ottawa,"Ottawa, ON, CA",Gold,65.89,"Feb. 22, 2025",Jonathan Rausseo,"Nov. 25, 2021",Maryann Moffitt,True,4,"Nov. 25, 2021 - Feb. 22, 2025; March 29, 2018 - Sept. 24, 2021; April 10, 2013 - April 9, 2016; Aug. 11, 2011 - Aug. 10, 2014"
University of Toronto Mississauga,"Mississauga, ON, CA",Silver,60.05,"Feb. 5, 2024",Beverley Ayeni,"Dec. 11, 2020",Ahmed Azhari,True,0,
University of Waterloo,"Waterloo, ON, CA",Silver,53.92,"Nov. 10, 2024",Mat Thijssen,"Oct. 26, 2021",Mat Thijssen,True,2,"Oct. 26, 2021 - Nov. 10, 2024; Nov. 6, 2018 - Nov. 5, 2021"
Western University,"London, ON, CA",Gold,73.99,"Jan. 11, 2025",Mary-Lee Townsend,"Oct. 20, 2021",Anne Zok,True,4,"Oct. 20, 2021 - Jan. 11, 2025; Feb. 1, 2018 - July 30, 2021; Oct. 6, 2014 - Oct. 5, 2017; Aug. 22, 2011 - Aug. 21, 2014"
Wilfrid Laurier University,"Waterloo, ON, CA",Gold - expired,66.76,"Jan. 15, 2022",Stephanie MacPhee,"Jan. 16, 2019",Corrie Bird,True,3,"Jan. 16, 2019 - Jan. 15, 2022; Dec. 20, 2013 - Dec. 19, 2016; Nov. 22, 2010 - Nov. 21, 2013"
York University,"Toronto, ON, CA",Silver - expired,55.05,"April 20, 2019",Nicole Arsenault,"April 20, 2016",,False,0,
Concordia University,"Montréal, QC, CA",Gold,72.00,"Jan. 27, 2025",Jessica Krejcik,"Dec. 22, 2021",Claudette Torbey,True,4,"Dec. 22, 2021 - Jan. 27, 2025; May 26, 2017 - Nov. 21, 2020; Feb. 5, 2016 - Feb. 4, 2019; Oct. 11, 2012 - Oct. 11, 2015"
Dawson College,"Montréal, QC, CA",Gold,74.59,"Dec. 7, 2023",Chris Adam,"Sept. 7, 2020",Chris Adam,True,0,
Ecole de Technologie Superieure,"Montreal, QC, CA",Gold,71.07,"April 24, 2025",Julien-Pierre Lacombe,"March 4, 2022",Annie Dumouchel,True,2,"March 4, 2022 - April 24, 2025; Nov. 14, 2018 - Nov. 13, 2021"
HEC Montréal,"Montréal, QC, CA",Gold,68.11,"April 22, 2024",Jean-Michel Champagne,"Feb. 10, 2021",Jean-Michel Champagne,True,2,"Feb. 10, 2021 - April 22, 2024; June 28, 2018 - Dec. 24, 2021"
McGill University,"Montreal, QC, CA",Gold,76.63,"Feb. 2, 2024",Karen Oberer,"Dec. 11, 2020",Karen Oberer,True,3,"Dec. 11, 2020 - Feb. 2, 2024; Aug. 22, 2016 - Aug. 22, 2019; Aug. 1, 2012 - Aug. 1, 2015"
Polytechnique Montreal,"Montreal, QC, CA",Gold,65.88,"June 2, 2022",Patrick Cigana,"June 3, 2019",Shirley Fagnen,True,2,"June 3, 2019 - June 2, 2022; May 31, 2016 - May 31, 2019"
Universite Laval,"Quebec, QC, CA",Gold,84.99,"Dec. 11, 2022",Pierre Lemay,"Dec. 12, 2019",Pierre Lemay,True,3,"Dec. 12, 2019 - Dec. 11, 2022; Dec. 23, 2016 - Dec. 23, 2019; Jan. 24, 2014 - Jan. 23, 2017"
Universite de Montreal,"Montreal, QC, CA",Silver,54.78,"Dec. 19, 2022",Luc Surprenant,"Dec. 20, 2019",Pascal Prouteau,True,2,"Dec. 20, 2019 - Dec. 19, 2022; Dec. 2, 2016 - Dec. 2, 2019"
Université de Sherbrooke,"Sherbrooke, QC, CA",Platinum,85.48,"Dec. 5, 2022",Emmanuelle Jodoin,"Dec. 6, 2019",Judith Beaudoin,True,0,
Universite du Quebec a Montreal,"Montréal, Québec, CA",Silver,45.28,"Oct. 21, 2024",Cynthia Philippe,"May 12, 2021",Cynthia Philippe,True,0,
University of Regina,"Regina, SK, CA",Reporter - expired,,"Nov. 25, 2018",Bryanna Butz,"Nov. 26, 2015",,False,0,
University of Saskatchewan,"Saskatoon, SK, CA",Silver,59.07,"March 5, 2023",Erin Akins,"March 5, 2020",Erin Akins,True,5,"March 5, 2020 - March 5, 2023; Jan. 23, 2017 - Jan. 23, 2020; Jan. 30, 2015 - Jan. 29, 2018; Jan. 18, 2013 - Jan. 18, 2016; Oct. 24, 2011 - Oct. 23, 2014"
Universidade do Estado do Pará - UEPA,"Belém, Pará, BR",Reporter,,"April 7, 2025",MARTA SILVA,"April 6, 2022",marta silva,True,0,
University of Tasmania,"Hobart, AU",Silver,50.94,"Aug. 25, 2023",Corey Peterson,"July 15, 2020",Sustainability Team,True,0,
University of Sydney,"Sydney, NSW, AU",Silver,59.36,"Nov. 29, 2024",Zoe Morrison,"July 30, 2021",Zoe Morrison,True,0,
University of Queensland,"Brisbane, QLD, AU",Silver,61.37,"Feb. 10, 2024",Suzanne Davis,"Oct. 26, 2020",,False,0,
